r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.1,-0.236873138,-0.533043799,-0.191018396,0.169259903,0.0112216001,-0.000970098958,2.6632676e-05,-0.03914822,-0.115738536,0.541838022,-0.139250127,0.0144345296,0.00385235387,0.000382059628
0.101,-0.244979093,-0.557704539,-0.203268688,0.181153044,0.0116320736,-0.000988204965,-1.92541608e-05,-0.0417037596,-0.122208644,0.572819826,-0.148890998,0.0156002066,0.00412085209,0.000434417016
0.102,-0.253196473,-0.583104078,-0.216191886,0.193709535,0.012048575,-0.00100845904,-5.27017751e-05,-0.044398373,-0.128992488,0.605120192,-0.15908,0.0168481847,0.00439448566,0.000481136974
0.103,-0.261519787,-0.609248543,-0.229818505,0.206952438,0.0124710368,-0.00103176362,-7.54382257e-05,-0.0472373849,-0.136103508,0.638770434,-0.169841997,0.0181837134,0.00467209374,0.0005230223
0.104,-0.269947446,-0.636143655,-0.244183453,0.220905298,0.0128968137,-0.00105839631,-9.13081714e-05,-0.050225531,-0.143555711,0.673801967,-0.181202521,0.019612841,0.00495258477,0.000561498574
0.105,-0.278477021,-0.663794632,-0.259321606,0.235592095,0.013324678,-0.0010883625,-0.000102841119,-0.0533678155,-0.151363503,0.71024525,-0.193187673,0.0211413433,0.00523496067,0.000597551839
0.106,-0.287106149,-0.692206496,-0.275268635,0.251036904,0.0137541364,-0.00112147541,-0.000111807478,-0.0566698287,-0.159541724,0.74812969,-0.205824185,0.0227748558,0.00551823955,0.000631829329
0.107,-0.295832044,-0.721383842,-0.292060703,0.26726407,0.0141855474,-0.00115740623,-0.000119407118,-0.0601374489,-0.168105618,0.787483791,-0.219139413,0.0245190062,0.00580146552,0.000664790933
0.108,-0.304651996,-0.751331097,-0.309734883,0.284297883,0.0146197769,-0.00119576847,-0.000126537612,-0.0637770679,-0.177070848,0.828335037,-0.233161406,0.0263794598,0.00608360851,0.000696709426
0.109,-0.313563122,-0.782052362,-0.328329,0.302162744,0.015058298,-0.00123610601,-0.000133878231,-0.0675953969,-0.186453504,0.870709986,-0.247918897,0.0283620019,0.00636362123,0.000727802318
0.11,-0.322562655,-0.813551622,-0.347881875,0.320882861,0.0155029892,-0.00127799522,-0.000142039928,-0.0715996406,-0.196270108,0.914634118,-0.263441386,0.0304725086,0.00664031859,0.00075813099
0.111,-0.331647644,-0.845832648,-0.368433021,0.340482398,0.0159564431,-0.00132098895,-0.000151378957,-0.0757973413,-0.206537659,0.960131933,-0.279759132,0.0327170514,0.00691247421,0.000787808635
0.112,-0.340814516,-0.878899167,-0.390022205,0.36098513,0.0164223852,-0.00136479564,-0.000161603335,-0.080196395,-0.21727363,1.00722678,-0.296903205,0.0351018,0.00717870302,0.000816776417
0.113,-0.35005937,-0.912754592,-0.412689659,0.382414642,0.0169053928,-0.00140912458,-0.000172333416,-0.0848048242,-0.228496006,1.05594074,-0.314905341,0.0376328547,0.0074376887,0.000844836598
