r,dnnbi,dne,dni,tbn,ti,te,vfova,cureq,feq,pressure,iota,q,1/D,curvature,shear,eta
0.742,0.3193021,0.7809851,0.8014942,0.7951408,0.2636829,0.2358588,0.3502872,-0.03650358,0.994219,0.2152585,0.2533874,3.946526,0.8517658,-0.3992392,-1.290043,9.473489
0.743,0.3170796,0.7803299,0.801041,0.7950898,0.2627941,0.2349394,0.350276,-0.03655636,0.9942131,0.2141646,0.2529469,3.953399,0.8513662,-0.4000113,-1.293917,9.531763
0.744,0.3148521,0.7796737,0.8005888,0.7950394,0.2619036,0.234021,0.3502649,-0.03660904,0.9942072,0.2130706,0.2525064,3.960296,0.8509658,-0.4007804,-1.297771,9.590582
0.745,0.3126188,0.7790163,0.8001376,0.7949902,0.2610116,0.2331036,0.350254,-0.0366616,0.9942013,0.2119762,0.252066,3.967215,0.8505646,-0.4015465,-1.301605,9.649953
0.746,0.3103791,0.7783578,0.7996876,0.7949428,0.2601179,0.2321873,0.3502436,-0.03671406,0.9941951,0.2108813,0.2516256,3.974158,0.8501627,-0.4023094,-1.305419,9.709884
0.747,0.3081323,0.7776982,0.7992388,0.794898,0.2592227,0.2312719,0.3502337,-0.0367664,0.994189,0.2097861,0.2511853,3.981124,0.84976,-0.4030692,-1.309214,9.770383
0.748,0.3058779,0.7770375,0.7987913,0.7948564,0.258326,0.2303577,0.3502246,-0.03681863,0.9941829,0.2086903,0.2507451,3.988113,0.8493566,-0.4038257,-1.312989,9.831457
0.749,0.303615,0.7763757,0.7983451,0.7948187,0.2574277,0.2294444,0.3502162,-0.03687075,0.9941771,0.207594,0.2503051,3.995125,0.8489524,-0.4045788,-1.316744,9.893114
0.75,0.3013432,0.7757128,0.7979002,0.7947855,0.256528,0.2285322,0.3502089,-0.03692276,0.9941715,0.2064973,0.2498651,4.00216,0.8485474,-0.4053285,-1.320481,9.955363
0.751,0.299062,0.7750488,0.7974568,0.7947572,0.2556268,0.227621,0.3502027,-0.03697466,0.994166,0.2054003,0.2494252,4.009218,0.8481417,-0.4060747,-1.324204,10.01821
0.752,0.2967724,0.7743837,0.7970148,0.7947331,0.2547243,0.2267109,0.3501974,-0.03702645,0.9941604,0.2043033,0.2489855,4.016299,0.8477353,-0.4068172,-1.327918,10.08166
0.753,0.2944758,0.7737174,0.7965739,0.7947123,0.2538204,0.2258017,0.3501928,-0.03707813,0.9941545,0.2032063,0.2485459,4.023402,0.8473281,-0.4075561,-1.331625,10.14573
0.754,0.2921733,0.77305,0.7961343,0.7946938,0.2529151,0.2248937,0.3501887,-0.03712971,0.9941487,0.2021096,0.2481064,4.030529,0.8469202,-0.4082912,-1.335324,10.21042
0.755,0.2898664,0.7723814,0.7956957,0.7946768,0.2520085,0.2239866,0.350185,-0.03718117,0.994143,0.2010131,0.2476671,4.037678,0.8465115,-0.4090225,-1.339015,10.27573
0.756,0.2875563,0.7717117,0.795258,0.7946601,0.2511007,0.2230805,0.3501813,-0.03723252,0.9941376,0.1999169,0.2472279,4.044851,0.8461021,-0.4097499,-1.342699,10.34168
0.757,0.2852444,0.7710408,0.7948212,0.794643,0.2501916,0.2221755,0.3501775,-0.03728377,0.9941324,0.1988208,0.2467889,4.052046,0.845692,-0.4104732,-1.346376,10.40826
0.758,0.2829318,0.7703687,0.7943851,0.7946244,0.2492814,0.2212715,0.3501734,-0.0373349,0.9941272,0.1977249,0.2463501,4.059264,0.8452812,-0.4111925,-1.350045,10.4755
0.759,0.28062,0.7696953,0.7939497,0.7946033,0.2483699,0.2203685,0.3501688,-0.03738593,0.9941217,0.1966288,0.2459114,4.066506,0.8448696,-0.4119075,-1.353706,10.54339
0.76,0.2783102,0.7690208,0.7935148,0.794579,0.2474574,0.2194666,0.3501634,-0.03743685,0.9941161,0.1955325,0.2454729,4.07377,0.8444573,-0.4126183,-1.35736,10.61194
0.761,0.2760032,0.768345,0.7930804,0.7945507,0.2465438,0.2185656,0.3501572,-0.03748766,0.9941106,0.1944362,0.2450345,4.081057,0.8440444,-0.4133248,-1.361013,10.68117
0.762,0.2736981,0.767668,0.7926466,0.7945198,0.2456291,0.2176657,0.3501504,-0.03753836,0.9941054,0.19334,0.2445964,4.088368,0.8436307,-0.4140269,-1.364671,10.75107
0.763,0.2713932,0.7669897,0.7922134,0.7944879,0.2447135,0.2167667,0.3501433,-0.03758896,0.9941004,0.1922439,0.2441584,4.095701,0.8432163,-0.4147244,-1.368333,10.82167
0.764,0.2690871,0.7663103,0.7917811,0.7944565,0.2437968,0.2158688,0.3501364,-0.03763945,0.9940955,0.1911483,0.2437207,4.103058,0.8428012,-0.4154174,-1.372001,10.89296
0.765,0.2667782,0.7656297,0.7913496,0.7944274,0.2428792,0.2149719,0.35013,-0.03768982,0.9940905,0.1900532,0.2432831,4.110438,0.8423855,-0.4161057,-1.375674,10.96497
0.766,0.264465,0.764948,0.7909191,0.7944022,0.2419607,0.2140761,0.3501245,-0.0377401,0.9940852,0.188959,0.2428457,4.117841,0.841969,-0.4167892,-1.379352,11.0377
0.767,0.2621459,0.7642651,0.7904897,0.7943824,0.2410413,0.2131812,0.3501201,-0.03779026,0.9940799,0.1878656,0.2424085,4.125268,0.8415519,-0.4174678,-1.383036,11.11116
0.768,0.2598196,0.7635811,0.7900614,0.7943698,0.2401211,0.2122874,0.3501173,-0.03784032,0.9940748,0.1867729,0.2419715,4.132718,0.8411341,-0.4181416,-1.386724,11.18536
0.769,0.2574844,0.762896,0.7896346,0.7943659,0.2392001,0.2113946,0.3501165,-0.03789027,0.9940699,0.1856809,0.2415347,4.140192,0.8407156,-0.4188103,-1.390416,11.26032
