r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.885,8.714383e+16,2.21428e+19,1.942124e+19,59827.72,272.6223,191.8729,0.002240385,0.0,2394222.0,30.16379
0.886,8.555656e+16,2.211573e+19,1.940717e+19,59878.27,271.0802,190.5147,0.002237171,0.0,2395233.0,30.50213
0.887,8.399953e+16,2.208861e+19,1.939304e+19,59929.84,269.5449,189.1573,0.002233962,0.0,2396264.0,30.84642
0.888,8.247063e+16,2.206144e+19,1.937886e+19,59982.79,268.0163,187.8007,0.002230757,0.0,2397323.0,31.19682
0.889,8.096779e+16,2.20342e+19,1.936461e+19,60037.49,266.4947,186.4449,0.002227557,0.0,2398415.0,31.55349
0.89,7.94889e+16,2.20069e+19,1.93503e+19,60094.3,264.98,185.09,0.002224361,0.0,2399550.0,31.91657
0.891,7.803244e+16,2.197953e+19,1.933592e+19,60153.45,263.4724,183.7359,0.00222117,0.0,2400730.0,32.28624
0.892,7.659907e+16,2.195207e+19,1.932146e+19,60214.67,261.9718,182.3825,0.002217984,0.0,2401952.0,32.66265
0.893,7.519003e+16,2.192449e+19,1.930687e+19,60277.57,260.4784,181.03,0.002214802,0.0,2403206.0,33.04598
0.894,7.380654e+16,2.189677e+19,1.929215e+19,60341.77,258.9923,179.6782,0.002211625,0.0,2404485.0,33.43638
0.895,7.244983e+16,2.186889e+19,1.927726e+19,60406.86,257.5135,178.3272,0.002208453,0.0,2405782.0,33.83404
0.896,7.112113e+16,2.184082e+19,1.926218e+19,60472.45,256.042,176.977,0.002205284,0.0,2407088.0,34.23914
0.897,6.982167e+16,2.181255e+19,1.924687e+19,60538.15,254.5779,175.6276,0.00220212,0.0,2408395.0,34.65185
0.898,6.855268e+16,2.178403e+19,1.923133e+19,60603.58,253.1214,174.279,0.00219896,0.0,2409696.0,35.07239
0.899,6.731538e+16,2.175526e+19,1.921551e+19,60668.32,251.6724,172.9311,0.002195804,0.0,2410983.0,35.50094
0.9,6.6111e+16,2.17262e+19,1.91994e+19,60732.0,250.231,171.584,0.002192652,0.0,2412248.0,35.93772
0.901,6.494027e+16,2.169684e+19,1.918297e+19,60794.36,248.7973,170.2377,0.002189503,0.0,2413486.0,36.38294
0.902,6.380189e+16,2.166714e+19,1.91662e+19,60855.75,247.3714,168.8921,0.002186358,0.0,2414704.0,36.83683
0.903,6.269404e+16,2.16371e+19,1.914906e+19,60916.64,245.9533,167.5472,0.002183217,0.0,2415912.0,37.29963
0.904,6.161491e+16,2.160668e+19,1.913155e+19,60977.52,244.5431,166.2031,0.00218008,0.0,2417119.0,37.7716
0.905,6.056271e+16,2.157586e+19,1.911364e+19,61038.87,243.1409,164.8597,0.002176946,0.0,2418335.0,38.25298
0.906,5.953562e+16,2.154463e+19,1.909531e+19,61101.17,241.7467,163.517,0.002173816,0.0,2419568.0,38.74405
0.907,5.853183e+16,2.151296e+19,1.907654e+19,61164.92,240.3607,162.175,0.002170689,0.0,2420830.0,39.24509
0.908,5.754954e+16,2.148083e+19,1.905731e+19,61230.58,238.9828,160.8337,0.002167566,0.0,2422129.0,39.75639
0.909,5.658693e+16,2.144822e+19,1.90376e+19,61298.65,237.6132,159.493,0.002164446,0.0,2423475.0,40.27824
0.91,5.56422e+16,2.14151e+19,1.90174e+19,61369.6,236.252,158.153,0.00216133,0.0,2424877.0,40.81095
0.911,5.471396e+16,2.138146e+19,1.899668e+19,61443.75,234.8992,156.8136,0.002158216,0.0,2426342.0,41.35485
0.912,5.380249e+16,2.134727e+19,1.897542e+19,61520.73,233.5548,155.4749,0.002155106,0.0,2427861.0,41.91027
0.913,5.290848e+16,2.131251e+19,1.89536e+19,61599.98,232.2191,154.1369,0.002152,0.0,2429425.0,42.47753
0.914,5.203262e+16,2.127715e+19,1.893119e+19,61680.96,230.892,152.7994,0.002148897,0.0,2431021.0,43.05699
0.915,5.117562e+16,2.124119e+19,1.890817e+19,61763.13,229.5736,151.4626,0.002145797,0.0,2432640.0,43.64901
0.916,5.033816e+16,2.120459e+19,1.888452e+19,61845.93,228.2641,150.1265,0.0021427,0.0,2434270.0,44.25396
0.917,4.952095e+16,2.116733e+19,1.886021e+19,61928.83,226.9635,148.7909,0.002139607,0.0,2435901.0,44.87223
0.918,4.872467e+16,2.11294e+19,1.883522e+19,62011.27,225.6719,147.456,0.002136517,0.0,2437521.0,45.50424
0.919,4.795002e+16,2.109076e+19,1.880952e+19,62092.71,224.3894,146.1217,0.00213343,0.0,2439122.0,46.1504
0.92,4.71977e+16,2.10514e+19,1.87831e+19,62172.6,223.116,144.788,0.002130347,0.0,2440690.0,46.81115
0.921,4.646797e+16,2.10113e+19,1.875593e+19,62250.61,221.8519,143.4549,0.002127267,0.0,2442221.0,47.48695
0.922,4.575935e+16,2.097043e+19,1.872798e+19,62327.23,220.5969,142.1225,0.00212419,0.0,2443723.0,48.1783
0.923,4.506994e+16,2.092877e+19,1.869924e+19,62403.17,219.3512,140.7906,0.002121116,0.0,2445212.0,48.88569
0.924,4.439781e+16,2.08863e+19,1.86697e+19,62479.15,218.1147,139.4593,0.002118046,0.0,2446700.0,49.60967
0.925,4.374108e+16,2.0843e+19,1.863931e+19,62555.88,216.8874,138.1286,0.002114979,0.0,2448202.0,50.35079
0.926,4.309781e+16,2.079884e+19,1.860808e+19,62634.05,215.6693,136.7984,0.002111914,0.0,2449731.0,51.10964
0.927,4.246611e+16,2.07538e+19,1.857597e+19,62714.4,214.4602,135.4687,0.002108853,0.0,2451302.0,51.88681
0.928,4.184407e+16,2.070787e+19,1.854297e+19,62797.61,213.2604,134.1396,0.002105795,0.0,2452927.0,52.68294
0.929,4.122977e+16,2.066101e+19,1.850905e+19,62884.41,212.0696,132.8111,0.002102739,0.0,2454622.0,53.49869
0.93,4.06213e+16,2.06132e+19,1.84742e+19,62975.5,210.888,131.483,0.002099687,0.0,2456399.0,54.33475
0.931,4.001721e+16,2.056443e+19,1.843839e+19,63071.34,209.7154,130.1554,0.002096637,0.0,2458268.0,55.19184
0.932,3.941779e+16,2.051466e+19,1.840161e+19,63171.41,208.5518,128.8284,0.002093589,0.0,2460217.0,56.07072
0.933,3.882381e+16,2.046389e+19,1.836383e+19,63274.9,207.397,127.5018,0.002090545,0.0,2462231.0,56.97215
0.934,3.823602e+16,2.041208e+19,1.832502e+19,63381.05,206.2508,126.1757,0.002087503,0.0,2464296.0,57.89695
0.935,3.765518e+16,2.035921e+19,1.828516e+19,63489.06,205.1131,124.85,0.002084463,0.0,2466395.0,58.84597
0.936,3.708203e+16,2.030527e+19,1.824424e+19,63598.16,203.9838,123.5249,0.002081426,0.0,2468513.0,59.8201
