r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.061,9.72160472e-05,-7.94639362e-05,9.20765686e-05,-2.78645409e-05,5.72622009e-07,3.00382591e-08,-3.55937881e-09,0.00012817846,0.000163795835,7.13743931e-05,-2.11957173e-05,-6.38637071e-07,4.2519233e-08,1.61643634e-10
0.062,0.000102998211,-8.5983008e-05,0.00010121134,-3.10795383e-05,6.52907603e-07,3.43823262e-08,-4.08938205e-09,0.000136078073,0.000176856701,7.87120107e-05,-2.36893797e-05,-7.23028873e-07,4.81300718e-08,2.36751138e-10
0.063,0.000108997366,-9.29102941e-05,0.000111074309,-3.46014135e-05,7.42702255e-07,3.92508946e-08,-4.68729474e-09,0.000144298542,0.000190692809,8.66630857e-05,-2.64265961e-05,-8.16651067e-07,5.43431064e-08,3.2694148e-10
0.064,0.000115215546,-0.000100263097,0.000121709148,-3.84533802e-05,8.42939024e-07,4.46939617e-08,-5.36039336e-09,0.000152844742,0.00020533287,9.52672223e-05,-2.94262779e-05,-9.20315999e-07,6.12059258e-08,4.34464467e-10
0.065,0.000121654572,-0.000108059032,0.000133161218,-4.26599386e-05,9.54624792e-07,5.07648152e-08,-6.11654533e-09,0.000161721309,0.000220805757,0.00010456581,-3.27084107e-05,-1.03489132e-06,6.87680251e-08,5.61847709e-10
0.066,0.000128316037,-0.00011631602,0.000145477575,-4.72469179e-05,1.07884484e-06,5.75200902e-08,-6.96424125e-09,0.000170932628,0.000237140466,0.000114602065,-3.6294089e-05,-1.16130284e-06,7.70806716e-08,7.11936211e-10
0.067,0.000135201307,-0.000125052266,0.000158706993,-5.22415201e-05,1.21676767e-06,6.50198133e-08,-7.91262965e-09,0.000180482826,0.000254366067,0.000125421069,-4.02055504e-05,-1.30053744e-06,8.61967461e-08,8.87917309e-10
0.068,0.000142311514,-0.000134286253,0.000172899964,-5.76723619e-05,1.36965017e-06,7.33274356e-08,-8.97155084e-09,0.000190375755,0.000272511655,0.000137069812,-4.44662096e-05,-1.45364627e-06,9.61705226e-08,1.09336212e-09
0.069,0.000149647549,-0.000144036724,0.000188108711,-6.35695184e-05,1.53884334e-06,8.25098342e-08,-1.01515847e-08,0.000200614991,0.000291606302,0.000149597224,-4.91006915e-05,-1.62174797e-06,1.07057393e-07,1.33225375e-09
0.07,0.00015721006,-0.000154322662,0.000204387191,-6.99645652e-05,1.72579911e-06,9.26371918e-08,-1.14641177e-08,0.000211203818,0.000311679002,0.000163054213,-5.41348632e-05,-1.806032e-06,1.18913488e-07,1.60903569e-09
0.071,0.00016499944,-0.000165163271,0.000221791096,-7.68906219e-05,1.932079e-06,1.03782564e-07,-1.29215258e-08,0.000222145216,0.000332758609,0.00017749368,-5.95958642e-05,-2.00776068e-06,1.31795145e-07,1.92864193e-09
0.072,0.000173015821,-0.000176577935,0.000240377848,-8.43823967e-05,2.1593635e-06,1.16021386e-07,-1.45375087e-08,0.000233441847,0.000354873762,0.00019297053,-6.55121336e-05,-2.22827004e-06,1.45758246e-07,2.29652357e-09
0.073,0.000181259072,-0.000188586204,0.000260206595,-9.24762263e-05,2.40945643e-06,1.29431608e-07,-1.63269523e-08,0.000245096043,0.000378052841,0.000209541705,-7.19134415e-05,-2.46897586e-06,1.60858249e-07,2.71880443e-09
0.074,0.000189728791,-0.000201207788,0.000281338207,-0.000101210118,2.68428938e-06,1.4409359e-07,-1.83056648e-08,0.000257109809,0.000402323912,0.000227266221,-7.88309186e-05,-2.73137888e-06,1.77149838e-07,3.20232776e-09
0.075,0.000198424307,-0.000214462525,0.000303835259,-0.00011062379,2.98592748e-06,1.60089824e-07,-2.04903356e-08,0.000269484806,0.000427714668,0.000246205198,-8.62970836e-05,-3.01706854e-06,1.94686568e-07,3.75469862e-09
0.076,0.000207344674,-0.000228370364,0.000327762021,-0.000120758715,3.31657612e-06,1.77504564e-07,-2.28984953e-08,0.000282222346,0.000454252366,0.00026642188,-9.4345869e-05,-3.32772672e-06,2.13520484e-07,4.3842838e-09
0.077,0.000216488662,-0.00024295134,0.000353184439,-0.000131658162,3.67858809e-06,1.96423457e-07,-2.55485667e-08,0.000295323383,0.000481963768,0.000287981661,-0.000103012646,-3.66513161e-06,2.33701722e-07,5.10028895e-09
