       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.2760000E+00	  0.1924916E+19	  0.3192735E+20	  0.2621083E+20	  0.1218820E+06	  0.1512332E+04	  0.1314731E+04	  0.6506119E-02	  0.0000000E+00	  0.3417298E+07	  0.1574072E+01
  0.2770000E+00	  0.1924244E+19	  0.3192083E+20	  0.2620681E+20	  0.1218687E+06	  0.1509539E+04	  0.1312529E+04	  0.6492919E-02	  0.0000000E+00	  0.3417112E+07	  0.1578115E+01
  0.2780000E+00	  0.1923554E+19	  0.3191428E+20	  0.2620275E+20	  0.1218554E+06	  0.1506745E+04	  0.1310325E+04	  0.6479748E-02	  0.0000000E+00	  0.3416926E+07	  0.1582178E+01
  0.2790000E+00	  0.1922841E+19	  0.3190770E+20	  0.2619865E+20	  0.1218422E+06	  0.1503948E+04	  0.1308119E+04	  0.6466605E-02	  0.0000000E+00	  0.3416740E+07	  0.1586260E+01
  0.2800000E+00	  0.1922100E+19	  0.3190110E+20	  0.2619450E+20	  0.1218290E+06	  0.1501150E+04	  0.1305910E+04	  0.6453490E-02	  0.0000000E+00	  0.3416555E+07	  0.1590364E+01
  0.2810000E+00	  0.1921328E+19	  0.3189447E+20	  0.2619032E+20	  0.1218159E+06	  0.1498350E+04	  0.1303699E+04	  0.6440404E-02	  0.0000000E+00	  0.3416372E+07	  0.1594488E+01
  0.2820000E+00	  0.1920528E+19	  0.3188782E+20	  0.2618610E+20	  0.1218030E+06	  0.1495547E+04	  0.1301486E+04	  0.6427346E-02	  0.0000000E+00	  0.3416191E+07	  0.1598632E+01
  0.2830000E+00	  0.1919703E+19	  0.3188113E+20	  0.2618184E+20	  0.1217901E+06	  0.1492743E+04	  0.1299271E+04	  0.6414316E-02	  0.0000000E+00	  0.3416010E+07	  0.1602797E+01
  0.2840000E+00	  0.1918858E+19	  0.3187442E+20	  0.2617753E+20	  0.1217772E+06	  0.1489937E+04	  0.1297054E+04	  0.6401314E-02	  0.0000000E+00	  0.3415829E+07	  0.1606982E+01
  0.2850000E+00	  0.1917997E+19	  0.3186769E+20	  0.2617317E+20	  0.1217642E+06	  0.1487129E+04	  0.1294835E+04	  0.6388340E-02	  0.0000000E+00	  0.3415647E+07	  0.1611188E+01
  0.2860000E+00	  0.1917123E+19	  0.3186092E+20	  0.2616876E+20	  0.1217513E+06	  0.1484320E+04	  0.1292614E+04	  0.6375395E-02	  0.0000000E+00	  0.3415465E+07	  0.1615413E+01
  0.2870000E+00	  0.1916242E+19	  0.3185413E+20	  0.2616429E+20	  0.1217382E+06	  0.1481510E+04	  0.1290390E+04	  0.6362477E-02	  0.0000000E+00	  0.3415282E+07	  0.1619658E+01
  0.2880000E+00	  0.1915356E+19	  0.3184732E+20	  0.2615976E+20	  0.1217250E+06	  0.1478698E+04	  0.1288165E+04	  0.6349587E-02	  0.0000000E+00	  0.3415096E+07	  0.1623922E+01
  0.2890000E+00	  0.1914471E+19	  0.3184047E+20	  0.2615516E+20	  0.1217116E+06	  0.1475884E+04	  0.1285939E+04	  0.6336725E-02	  0.0000000E+00	  0.3414909E+07	  0.1628206E+01
