        r	      denseq	       teeq	       nfeq	     dnfeqdr	      vfova	      cureq	       feq	    pressure	       iota	        1/D	    curvature	      shear	     eta
  0.8500000E-01	  0.9897980E+00	  0.9911454E+00	  0.9679653E+00	 -0.6235279E+00	  0.6800000E+00	  0.6291432E-05	  0.1000755E+01	  0.9988838E+00	 -0.4756448E+00	  0.1000222E+01	 -0.1312135E-01	  0.3941355E-02	  0.1013431E+01
  0.8600000E-01	  0.9895747E+00	  0.9909426E+00	  0.9673378E+00	 -0.6314818E+00	  0.6800000E+00	  0.6439783E-05	  0.1000756E+01	  0.9988575E+00	 -0.4756670E+00	  0.1000209E+01	 -0.1327472E-01	  0.4048148E-02	  0.1013741E+01
  0.8700000E-01	  0.9893496E+00	  0.9907379E+00	  0.9667023E+00	 -0.6395259E+00	  0.6800000E+00	  0.6589844E-05	  0.1000757E+01	  0.9988308E+00	 -0.4756896E+00	  0.1000195E+01	 -0.1342802E-01	  0.4156878E-02	  0.1014056E+01
  0.8800000E-01	  0.9891226E+00	  0.9905311E+00	  0.9660588E+00	 -0.6476608E+00	  0.6800000E+00	  0.6741613E-05	  0.1000757E+01	  0.9988039E+00	 -0.4757125E+00	  0.1000182E+01	 -0.1358125E-01	  0.4267571E-02	  0.1014373E+01
  0.8900000E-01	  0.9888939E+00	  0.9903222E+00	  0.9654070E+00	 -0.6558872E+00	  0.6800000E+00	  0.6895090E-05	  0.1000758E+01	  0.9987766E+00	 -0.4757357E+00	  0.1000168E+01	 -0.1373443E-01	  0.4380257E-02	  0.1014694E+01
  0.9000000E-01	  0.9886635E+00	  0.9901113E+00	  0.9647470E+00	 -0.6642059E+00	  0.6800000E+00	  0.7050273E-05	  0.1000758E+01	  0.9987490E+00	 -0.4757593E+00	  0.1000154E+01	 -0.1388754E-01	  0.4494963E-02	  0.1015019E+01
  0.9100000E-01	  0.9884313E+00	  0.9898984E+00	  0.9640786E+00	 -0.6726174E+00	  0.6800000E+00	  0.7207161E-05	  0.1000759E+01	  0.9987212E+00	 -0.4757832E+00	  0.1000140E+01	 -0.1404058E-01	  0.4611719E-02	  0.1015346E+01
  0.9200000E-01	  0.9881973E+00	  0.9896835E+00	  0.9634018E+00	 -0.6811226E+00	  0.6800000E+00	  0.7365753E-05	  0.1000759E+01	  0.9986930E+00	 -0.4758075E+00	  0.1000126E+01	 -0.1419355E-01	  0.4730555E-02	  0.1015677E+01
  0.9300000E-01	  0.9879617E+00	  0.9894666E+00	  0.9627164E+00	 -0.6897222E+00	  0.6800000E+00	  0.7526050E-05	  0.1000760E+01	  0.9986645E+00	 -0.4758322E+00	  0.1000112E+01	 -0.1434645E-01	  0.4851500E-02	  0.1016011E+01
  0.9400000E-01	  0.9877244E+00	  0.9892476E+00	  0.9620223E+00	 -0.6984167E+00	  0.6800000E+00	  0.7688048E-05	  0.1000760E+01	  0.9986358E+00	 -0.4758572E+00	  0.1000097E+01	 -0.1449927E-01	  0.4974586E-02	  0.1016348E+01
