bet0_f,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,0.8,8.0,0,1,0.00625643,1.6943528923200002,7.54289e-09,5.71687e-10,BAE,4,0.752,0
0.001,0.8,8.0,20,1,0.00617535,1.600200182922,1.86076e-08,2.90979e-08,BAE,4,0.752,0
0.001,0.8,8.0,40,1,0.00602627,1.555801995054,2.52456e-08,2.50163e-07,Estable/Ruido,5,0.865,1
0.001,0.8,10.0,0,1,0.00617117,1.631600414412,1.82869e-08,4.74109e-08,BAE,4,0.752,0
0.001,0.8,10.0,20,1,0.00625103,1.661615076948,8.46514e-09,1.13671e-09,BAE,4,0.752,0
0.001,0.8,10.0,40,1,0.00625972,1.661675058288,7.76133e-09,5.06328e-10,BAE,4,0.752,0
0.0049,0.1,0.5,0,1,0.00622346,1.730125763496,9.15314e-09,9.13302e-09,BAE,4,0.752,0
0.0049,0.1,0.5,20,1,0.00624742,1.689158508276,8.14383e-09,5.82635e-09,BAE,4,0.752,0
0.0049,0.1,0.5,40,1,0.00625832,1.687736950518,6.78678e-09,6.74535e-09,BAE,4,0.752,0
0.0049,0.1,2.0,0,1,0.0111547,100.519728639,1.07745e-08,2.10197e-09,BAE,4,0.052,0
0.0049,0.1,2.0,20,1,0.0137035,106.7625865062,6.31291e-25,8.66194e-25,BAE,4,0.086,0
0.0049,0.1,2.0,40,1,0.00966311,113.3671318536,5.24006e-12,1.79884e-08,BAE,4,0.111,0
0.0049,0.1,4.0,0,1,0.0256789,82.663283721,2.20685e-26,4.43873e-26,BAE,3,0.063,0
0.0049,0.1,4.0,20,1,0.0253436,105.8826602484,2.09828e-26,5.10172e-26,TAE,4,0.091,1
0.0049,0.1,4.0,40,1,0.0237037,114.8456718846,3.56745e-26,4.8517e-26,BAE,4,0.113,0
0.0049,0.1,6.0,0,1,0.0398577,82.8000411762,5.34842e-28,3.73837e-27,BAE,3,0.072,0
0.0049,0.1,6.0,20,1,0.0333644,103.5775773522,9.58073e-28,1.78376e-27,TAE,4,0.095,1
0.0049,0.1,6.0,40,1,0.0329657,115.0598052684,5.21705e-27,9.5811e-27,TAE,4,0.114,1
0.0049,0.1,8.0,0,1,0.0509886,82.19842833599999,1.46211e-27,7.958e-28,BAE,3,0.077,0
0.0049,0.1,8.0,20,1,0.0431694,100.885614813,3.7370599999999995e-28,6.76915e-27,BAE,3,0.089,0
0.0049,0.1,8.0,40,1,0.040306,115.071201723,3.9858e-27,7.71659e-27,BAE,4,0.115,0
0.0049,0.1,10.0,0,1,0.0602844,81.499645725,5.88252e-28,1.53979e-27,BAE,3,0.08,0
0.0049,0.1,10.0,20,1,0.0530555,100.1664385464,3.49867e-28,8.23081e-28,BAE,3,0.091,0
0.0049,0.1,10.0,40,1,0.0468169,115.1527763454,3.1511e-27,3.31765e-27,BAE,4,0.114,0
0.0049,0.2,0.5,0,1,0.00625288,1.752138915276,6.89314e-09,2.25463e-09,BAE,4,0.752,0
0.0049,0.2,0.5,20,1,0.00627021,1.700854869576,6.66007e-09,3.52583e-10,BAE,4,0.752,0
0.0049,0.2,0.5,40,1,0.00602289,1.536907872954,1.44352e-08,1.13915e-07,Estable/Ruido,5,0.865,0
0.0049,0.2,2.0,0,1,0.00791237,71.3202125136,8.44114e-07,0.0044776,Estable/Ruido,4,0.053,0
0.0049,0.2,2.0,20,1,0.0102221,106.7793812814,3.67172e-15,5.66297e-12,BAE,4,0.086,0
0.0049,0.2,2.0,40,1,0.00626914,2.403740204232,8.42473e-09,2.47394e-05,BAE,4,0.752,0
0.0049,0.2,4.0,0,1,0.011839,78.5623595052,7.92184e-10,1.81224e-09,BAE,3,0.065,0
0.0049,0.2,4.0,20,1,0.0170061,106.8663542244,3.11179e-25,8.5807e-25,BAE,4,0.092,0
0.0049,0.2,4.0,40,1,0.0148232,114.8150814012,2.39931e-25,1.54219e-24,BAE,4,0.116,0
0.0049,0.2,6.0,0,1,0.0153575,76.1918969484,4.35296e-25,5.89516e-25,BAE,3,0.089,0
0.0049,0.2,6.0,20,1,0.0190544,106.865754411,4.23538e-26,7.97309e-25,TAE,4,0.098,1
0.0049,0.2,6.0,40,1,0.0191431,115.8383630616,6.88001e-26,1.10921e-25,BAE,4,0.122,0
0.0049,0.2,8.0,0,1,0.0150256,73.0548728664,3.04263e-11,2.15378e-10,BAE,3,0.114,0
0.0049,0.2,8.0,20,1,0.0190896,107.2484353602,2.45315e-25,8.21315e-26,TAE,4,0.104,1
0.0049,0.2,8.0,40,1,0.0214959,116.8664432292,1.44282e-25,1.33318e-26,BAE,4,0.13,0
0.0049,0.2,10.0,0,1,0.0237507,65.13973524000001,2.46487e-27,2.32222e-27,BAE,3,0.166,0
0.0049,0.2,10.0,20,1,0.0183854,108.0917730006,1.84952e-08,2.08062e-09,TAE,4,0.109,1
