r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.512,1.01069032e-05,-1.01568942e-06,0.000116946624,8.62838297e-05,6.91727195e-06,1.37383127e-06,-1.44727158e-05,1.39472912e-05
0.513,9.92229573e-06,-8.47834907e-07,0.000116300729,8.57299928e-05,6.78737898e-06,1.16205371e-06,-1.4022494e-05,1.39166245e-05
0.514,9.73855635e-06,-6.81769807e-07,0.000115659533,8.51816623e-05,6.65714956e-06,9.47445494e-07,-1.35741711e-05,1.38877917e-05
0.515,9.55570738e-06,-5.17552798e-07,0.000115022953,8.46387715e-05,6.52657341e-06,7.29996656e-07,-1.3127728e-05,1.38607685e-05
0.516,9.37377107e-06,-3.55237175e-07,0.000114390903,8.41012545e-05,6.39564315e-06,5.0969697e-07,-1.26831438e-05,1.38355306e-05
0.517,9.19276458e-06,-1.94872868e-07,0.000113763298,8.35690468e-05,6.26435452e-06,2.86535951e-07,-1.22403959e-05,1.3812054e-05
0.518,9.01269772e-06,-3.65081441e-08,0.000113140052,8.30420835e-05,6.1327051e-06,6.05024353e-08,-1.17994586e-05,1.37903155e-05
0.519,8.83357366e-06,1.19809891e-07,0.000112521086,8.2520299e-05,6.00069344e-06,-1.68415546e-07,-1.13603038e-05,1.37702927e-05
0.52,8.65538842e-06,2.74034917e-07,0.000111906326,8.20036284e-05,5.86831926e-06,-4.00231287e-07,-1.09229005e-05,1.37519641e-05
0.521,8.47813172e-06,4.26120896e-07,0.000111295701,8.14920109e-05,5.7355842e-06,-6.34959967e-07,-1.04872126e-05,1.37353092e-05
0.522,8.30179271e-06,5.76021749e-07,0.000110689137,8.09853933e-05,5.60249272e-06,-8.72618365e-07,-1.00532003e-05,1.37203087e-05
0.523,8.12636533e-06,7.23691507e-07,0.00011008656,8.04837279e-05,5.46905182e-06,-1.11322366e-06,-9.62082345e-06,1.37069429e-05
0.524,7.95184991e-06,8.69084166e-07,0.00010948789,7.99869703e-05,5.33526987e-06,-1.35679273e-06,-9.19004438e-06,1.36951922e-05
0.525,7.77825374e-06,1.01215344e-06,0.00010889305,7.94950782e-05,5.20115499e-06,-1.60334166e-06,-8.76082978e-06,1.36850366e-05
0.526,7.60558826e-06,1.15285246e-06,0.000108301965,7.90080073e-05,5.06671314e-06,-1.85288584e-06,-8.33315043e-06,1.36764571e-05
0.527,7.43386282e-06,1.2911336e-06,0.000107714567,7.85257101e-05,4.9319472e-06,-2.10544047e-06,-7.9069796e-06,1.3669435e-05
0.528,7.26308056e-06,1.42694843e-06,0.000107130794,7.80481359e-05,4.79685725e-06,-2.36102047e-06,-7.48229145e-06,1.36639528e-05
0.529,7.09323838e-06,1.56024767e-06,0.000106550589,7.75752317e-05,4.66144039e-06,-2.61963967e-06,-7.05906073e-06,1.36599932e-05
0.53,6.92432985e-06,1.69098125e-06,0.000105973897,7.710694e-05,4.52568974e-06,-2.88130935e-06,-6.63726506e-06,1.36575387e-05
0.531,6.75635187e-06,1.81909887e-06,0.000105400666,7.66431976e-05,4.38959441e-06,-3.14603564e-06,-6.21688893e-06,1.36565699e-05
0.532,6.58930907e-06,1.94455047e-06,0.00010483084,7.61839397e-05,4.253141e-06,-3.41381815e-06,-5.79792409e-06,1.36570651e-05
0.533,6.42321326e-06,2.06728557e-06,0.000104264361,7.57291036e-05,4.11631612e-06,-3.68465144e-06,-5.38036607e-06,1.36590017e-05
0.534,6.25808141e-06,2.18725291e-06,0.000103701165,7.52786311e-05,3.97910922e-06,-3.95852684e-06,-4.96421026e-06,1.36623563e-05
0.535,6.09393104e-06,2.3044007e-06,0.000103141184,7.48324718e-05,3.84151551e-06,-4.23543424e-06,-4.54944791e-06,1.36671059e-05
0.536,5.93077361e-06,2.41867683e-06,0.000102584346,7.43905832e-05,3.70353654e-06,-4.51536347e-06,-4.13606379e-06,1.36732284e-05
0.537,5.7686128e-06,2.53002911e-06,0.00010203058,7.3952926e-05,3.56517765e-06,-4.79830473e-06,-3.7240369e-06,1.36807026e-05
0.538,5.60744641e-06,2.63840555e-06,0.000101479822,7.35194602e-05,3.42644538e-06,-5.08424809e-06,-3.31334295e-06,1.36895076e-05
0.539,5.44726672e-06,2.74375433e-06,0.000100932015,7.30901456e-05,3.28734639e-06,-5.3731833e-06,-2.90395538e-06,1.36996226e-05
0.54,5.28806267e-06,2.84602387e-06,0.000100387103,7.26649439e-05,3.14788767e-06,-5.66509956e-06,-2.49584526e-06,1.37110278e-05
0.541,5.12982457e-06,2.94516302e-06,9.98450334e-05,7.22438206e-05,3.00807746e-06,-5.95998468e-06,-2.08898284e-06,1.37237038e-05
0.542,4.97254718e-06,3.04112138e-06,9.93057491e-05,7.18267441e-05,2.86792538e-06,-6.25782446e-06,-1.68334045e-06,1.37376312e-05
0.543,4.81623035e-06,3.13384928e-06,9.87691919e-05,7.14136847e-05,2.72744095e-06,-6.55860264e-06,-1.27889488e-06,1.37527905e-05
0.544,4.66088042e-06,3.22329786e-06,9.82353034e-05,7.10046102e-05,2.58663085e-06,-6.86230075e-06,-8.75630145e-07,1.37691621e-05
0.545,4.50650838e-06,3.30941922e-06,9.77040302e-05,7.05994816e-05,2.44549605e-06,-7.16889847e-06,-4.73538138e-07,1.37867253e-05
0.546,4.35312418e-06,3.39216674e-06,9.71753247e-05,7.01982535e-05,2.30403193e-06,-7.47837477e-06,-7.26161502e-08,1.38054589e-05
0.547,4.20073295e-06,3.4714954e-06,9.66491421e-05,6.98008773e-05,2.16223042e-06,-7.79070917e-06,3.27136702e-07,1.38253418e-05
0.548,4.04933456e-06,3.54736204e-06,9.61254396e-05,6.94073026e-05,2.02008173e-06,-8.10588264e-06,7.25721517e-07,1.38463533e-05
0.549,3.89892558e-06,3.6197253e-06,9.5604175e-05,6.90174782e-05,1.87757547e-06,-8.42387835e-06,1.1231394e-06,1.38684726e-05
0.55,3.74950377e-06,3.68854519e-06,9.50853048e-05,6.86313531e-05,1.73470186e-06,-8.74468237e-06,1.5193905e-06,1.38916789e-05
0.551,3.60107118e-06,3.75378178e-06,9.45687841e-05,6.82488786e-05,1.59145257e-06,-9.06828512e-06,1.91447529e-06,1.39159525e-05
0.552,3.4536343e-06,3.81539386e-06,9.40545674e-05,6.78700097e-05,1.44782188e-06,-9.39468276e-06,2.30839733e-06,1.39412758e-05
0.553,3.30720141e-06,3.87333977e-06,9.35426071e-05,6.74947073e-05,1.30380958e-06,-9.72387616e-06,2.70116545e-06,1.3967633e-05
0.554,3.16177728e-06,3.92757807e-06,9.30328527e-05,6.71229415e-05,1.15942287e-06,-1.00558696e-05,3.09279602e-06,1.39950109e-05
0.555,3.0173605e-06,3.97806753e-06,9.25252536e-05,6.67546883e-05,1.01467459e-06,-1.03906694e-05,3.48331276e-06,1.40233983e-05
0.556,2.873945e-06,4.02476681e-06,9.20197632e-05,6.63899247e-05,8.69579543e-07,-1.07282814e-05,3.87274369e-06,1.40527841e-05
0.557,2.73152147e-06,4.0676339e-06,9.15163397e-05,6.60286273e-05,7.24151764e-07,-1.10687089e-05,4.2611181e-06,1.40831567e-05
0.558,2.59007911e-06,4.10662557e-06,9.10149457e-05,6.56707711e-05,5.78403188e-07,-1.14119512e-05,4.64846445e-06,1.41145036e-05
0.559,2.44960895e-06,4.14169724e-06,9.05155451e-05,6.53163311e-05,4.32344126e-07,-1.17580012e-05,5.03480859e-06,1.41468112e-05
0.56,2.31010543e-06,4.17280349e-06,9.00180997e-05,6.49652828e-05,2.85984487e-07,-1.21068432e-05,5.42017155e-06,1.41800644e-05
0.561,2.17156608e-06,4.19989958e-06,8.95225674e-05,6.46176025e-05,1.39333562e-07,-1.24584505e-05,5.80456635e-06,1.42142463e-05
0.562,2.03399305e-06,4.22294317e-06,8.90289042e-05,6.42732626e-05,-7.60269556e-09,-1.2812783e-05,6.18799326e-06,1.42493364e-05
0.563,1.89739352e-06,4.24189324e-06,8.85370694e-05,6.3932227e-05,-1.54825462e-07,-1.3169789e-05,6.57043967e-06,1.42853098e-05
