        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.8170000E+00	  0.1466442E+00	  0.7286415E+00	  0.7695861E+00	  0.8437012E+00	  0.1947398E+00	  0.1696531E+00	  0.4080787E+00	 -0.4016453E-01	  0.9938682E+00	  0.1349636E+00	  0.2209257E+00	  0.4526408E+01	  0.8199560E+00	 -0.4435975E+00	 -0.1555130E+01	  0.1598199E+02
  0.8180000E+00	  0.1444807E+00	  0.7278989E+00	  0.7691650E+00	  0.8439421E+00	  0.1938228E+00	  0.1688049E+00	  0.4081370E+00	 -0.4020935E-01	  0.9938649E+00	  0.1339673E+00	  0.2205054E+00	  0.4535036E+01	  0.8195123E+00	 -0.4439435E+00	 -0.1558654E+01	  0.1611022E+02
  0.8190000E+00	  0.1423383E+00	  0.7271551E+00	  0.7687426E+00	  0.8441783E+00	  0.1929067E+00	  0.1679575E+00	  0.4081941E+00	 -0.4025405E-01	  0.9938613E+00	  0.1329742E+00	  0.2200854E+00	  0.4543690E+01	  0.8190682E+00	 -0.4442824E+00	 -0.1562190E+01	  0.1623998E+02
  0.8200000E+00	  0.1402202E+00	  0.7264101E+00	  0.7683184E+00	  0.8444067E+00	  0.1919917E+00	  0.1671108E+00	  0.4082493E+00	 -0.4029864E-01	  0.9938576E+00	  0.1319843E+00	  0.2196658E+00	  0.4552370E+01	  0.8186237E+00	 -0.4446142E+00	 -0.1565739E+01	  0.1637130E+02
  0.8210000E+00	  0.1381285E+00	  0.7256639E+00	  0.7678924E+00	  0.8446250E+00	  0.1910776E+00	  0.1662649E+00	  0.4083021E+00	 -0.4034312E-01	  0.9938539E+00	  0.1309981E+00	  0.2192465E+00	  0.4561075E+01	  0.8181789E+00	 -0.4449391E+00	 -0.1569292E+01	  0.1650420E+02
  0.8220000E+00	  0.1360623E+00	  0.7249166E+00	  0.7674646E+00	  0.8448356E+00	  0.1901647E+00	  0.1654198E+00	  0.4083530E+00	 -0.4038749E-01	  0.9938503E+00	  0.1300157E+00	  0.2188276E+00	  0.4569806E+01	  0.8177338E+00	 -0.4452569E+00	 -0.1572846E+01	  0.1663870E+02
  0.8230000E+00	  0.1340193E+00	  0.7241681E+00	  0.7670351E+00	  0.8450419E+00	  0.1892528E+00	  0.1645755E+00	  0.4084028E+00	 -0.4043174E-01	  0.9938470E+00	  0.1290375E+00	  0.2184091E+00	  0.4578563E+01	  0.8172884E+00	 -0.4455678E+00	 -0.1576396E+01	  0.1677485E+02
  0.8240000E+00	  0.1319977E+00	  0.7234183E+00	  0.7666040E+00	  0.8452474E+00	  0.1883421E+00	  0.1637320E+00	  0.4084525E+00	 -0.4047588E-01	  0.9938437E+00	  0.1280636E+00	  0.2179910E+00	  0.4587346E+01	  0.8168427E+00	 -0.4458718E+00	 -0.1579945E+01	  0.1691266E+02
  0.8250000E+00	  0.1299953E+00	  0.7226674E+00	  0.7661716E+00	  0.8454554E+00	  0.1874325E+00	  0.1628892E+00	  0.4085028E+00	 -0.4051990E-01	  0.9938403E+00	  0.1270940E+00	  0.2175732E+00	  0.4596155E+01	  0.8163967E+00	 -0.4461689E+00	 -0.1583491E+01	  0.1705217E+02
  0.8260000E+00	  0.1280103E+00	  0.7219153E+00	  0.7657380E+00	  0.8456695E+00	  0.1865242E+00	  0.1620472E+00	  0.4085545E+00	 -0.4056381E-01	  0.9938367E+00	  0.1261287E+00	  0.2171557E+00	  0.4604990E+01	  0.8159503E+00	 -0.4464593E+00	 -0.1587035E+01	  0.1719342E+02
  0.8270000E+00	  0.1260405E+00	  0.7211619E+00	  0.7653032E+00	  0.8458931E+00	  0.1856171E+00	  0.1612060E+00	  0.4086085E+00	 -0.4060760E-01	  0.9938331E+00	  0.1251675E+00	  0.2167387E+00	  0.4613851E+01	  0.8155037E+00	 -0.4467429E+00	 -0.1590577E+01	  0.1733643E+02
  0.8280000E+00	  0.1240839E+00	  0.7204074E+00	  0.7648675E+00	  0.8461296E+00	  0.1847113E+00	  0.1603655E+00	  0.4086656E+00	 -0.4065127E-01	  0.9938296E+00	  0.1242103E+00	  0.2163220E+00	  0.4622738E+01	  0.8150569E+00	 -0.4470198E+00	 -0.1594116E+01	  0.1748124E+02
  0.8290000E+00	  0.1221386E+00	  0.7196515E+00	  0.7644310E+00	  0.8463824E+00	  0.1838068E+00	  0.1595258E+00	  0.4087266E+00	 -0.4069483E-01	  0.9938263E+00	  0.1232569E+00	  0.2159057E+00	  0.4631651E+01	  0.8146097E+00	 -0.4472901E+00	 -0.1597653E+01	  0.1762789E+02
  0.8300000E+00	  0.1202025E+00	  0.7188945E+00	  0.7639937E+00	  0.8466551E+00	  0.1829036E+00	  0.1586868E+00	  0.4087925E+00	 -0.4073826E-01	  0.9938231E+00	  0.1223074E+00	  0.2154898E+00	  0.4640590E+01	  0.8141623E+00	 -0.4475539E+00	 -0.1601192E+01	  0.1777641E+02
  0.8310000E+00	  0.1182743E+00	  0.7181362E+00	  0.7635559E+00	  0.8469498E+00	  0.1820018E+00	  0.1578486E+00	  0.4088636E+00	 -0.4078157E-01	  0.9938197E+00	  0.1213621E+00	  0.2150743E+00	  0.4649556E+01	  0.8137146E+00	 -0.4478111E+00	 -0.1604759E+01	  0.1792683E+02
  0.8320000E+00	  0.1163556E+00	  0.7173767E+00	  0.7631174E+00	  0.8472643E+00	  0.1811014E+00	  0.1570111E+00	  0.4089395E+00	 -0.4082476E-01	  0.9938163E+00	  0.1204212E+00	  0.2146592E+00	  0.4658548E+01	  0.8132667E+00	 -0.4480619E+00	 -0.1608379E+01	  0.1807919E+02
  0.8330000E+00	  0.1144486E+00	  0.7166159E+00	  0.7626780E+00	  0.8475952E+00	  0.1802024E+00	  0.1561744E+00	  0.4090194E+00	 -0.4086783E-01	  0.9938128E+00	  0.1194849E+00	  0.2142444E+00	  0.4667567E+01	  0.8128185E+00	 -0.4483064E+00	 -0.1612055E+01	  0.1823353E+02
  0.8340000E+00	  0.1125557E+00	  0.7158540E+00	  0.7622375E+00	  0.8479389E+00	  0.1793049E+00	  0.1553384E+00	  0.4091023E+00	 -0.4091077E-01	  0.9938094E+00	  0.1185534E+00	  0.2138299E+00	  0.4676613E+01	  0.8123700E+00	 -0.4485446E+00	 -0.1615789E+01	  0.1838986E+02
  0.8350000E+00	  0.1106792E+00	  0.7150908E+00	  0.7617958E+00	  0.8482921E+00	  0.1784090E+00	  0.1545031E+00	  0.4091875E+00	 -0.4095358E-01	  0.9938061E+00	  0.1176269E+00	  0.2134158E+00	  0.4685688E+01	  0.8119214E+00	 -0.4487767E+00	 -0.1619579E+01	  0.1854822E+02
  0.8360000E+00	  0.1088212E+00	  0.7143264E+00	  0.7613527E+00	  0.8486514E+00	  0.1775146E+00	  0.1536685E+00	  0.4092741E+00	 -0.4099627E-01	  0.9938029E+00	  0.1167053E+00	  0.2130021E+00	  0.4694790E+01	  0.8114725E+00	 -0.4490026E+00	 -0.1623426E+01	  0.1870865E+02
  0.8370000E+00	  0.1069842E+00	  0.7135608E+00	  0.7609080E+00	  0.8490132E+00	  0.1766218E+00	  0.1528347E+00	  0.4093614E+00	 -0.4103883E-01	  0.9937996E+00	  0.1157886E+00	  0.2125886E+00	  0.4703921E+01	  0.8110234E+00	 -0.4492225E+00	 -0.1627328E+01	  0.1887117E+02
  0.8380000E+00	  0.1051704E+00	  0.7127940E+00	  0.7604615E+00	  0.8493741E+00	  0.1757307E+00	  0.1520015E+00	  0.4094484E+00	 -0.4108126E-01	  0.9937963E+00	  0.1148768E+00	  0.2121754E+00	  0.4713082E+01	  0.8105740E+00	 -0.4494365E+00	 -0.1631286E+01	  0.1903583E+02
  0.8390000E+00	  0.1033820E+00	  0.7120261E+00	  0.7600132E+00	  0.8497306E+00	  0.1748413E+00	  0.1511691E+00	  0.4095343E+00	 -0.4112357E-01	  0.9937929E+00	  0.1139697E+00	  0.2117625E+00	  0.4722271E+01	  0.8101245E+00	 -0.4496447E+00	 -0.1635300E+01	  0.1920265E+02
  0.8400000E+00	  0.1016215E+00	  0.7112569E+00	  0.7595627E+00	  0.8500794E+00	  0.1739535E+00	  0.1503374E+00	  0.4096183E+00	 -0.4116574E-01	  0.9937896E+00	  0.1130673E+00	  0.2113499E+00	  0.4731490E+01	  0.8096748E+00	 -0.4498471E+00	 -0.1639365E+01	  0.1937168E+02
