       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.1270000E+00	  0.1916232E+19	  0.3261273E+20	  0.2606794E+20	  0.1035508E+06	  0.1873065E+04	  0.1593876E+04	  0.8811062E-02	  0.0000000E+00	  0.3149849E+07	  0.1148153E+01
  0.1280000E+00	  0.1916597E+19	  0.3260994E+20	  0.2607488E+20	  0.1035412E+06	  0.1871224E+04	  0.1592476E+04	  0.8793211E-02	  0.0000000E+00	  0.3149704E+07	  0.1150072E+01
  0.1290000E+00	  0.1916991E+19	  0.3260713E+20	  0.2608171E+20	  0.1035313E+06	  0.1869372E+04	  0.1591067E+04	  0.8775393E-02	  0.0000000E+00	  0.3149553E+07	  0.1152000E+01
  0.1300000E+00	  0.1917420E+19	  0.3260430E+20	  0.2608840E+20	  0.1035210E+06	  0.1867510E+04	  0.1589650E+04	  0.8757609E-02	  0.0000000E+00	  0.3149397E+07	  0.1153937E+01
  0.1310000E+00	  0.1917888E+19	  0.3260145E+20	  0.2609496E+20	  0.1035103E+06	  0.1865637E+04	  0.1588225E+04	  0.8739859E-02	  0.0000000E+00	  0.3149234E+07	  0.1155883E+01
  0.1320000E+00	  0.1918392E+19	  0.3259857E+20	  0.2610139E+20	  0.1034992E+06	  0.1863754E+04	  0.1586791E+04	  0.8722142E-02	  0.0000000E+00	  0.3149065E+07	  0.1157837E+01
  0.1330000E+00	  0.1918925E+19	  0.3259567E+20	  0.2610770E+20	  0.1034878E+06	  0.1861861E+04	  0.1585349E+04	  0.8704459E-02	  0.0000000E+00	  0.3148892E+07	  0.1159800E+01
  0.1340000E+00	  0.1919483E+19	  0.3259274E+20	  0.2611389E+20	  0.1034762E+06	  0.1859957E+04	  0.1583899E+04	  0.8686810E-02	  0.0000000E+00	  0.3148715E+07	  0.1161773E+01
  0.1350000E+00	  0.1920060E+19	  0.3258979E+20	  0.2611997E+20	  0.1034643E+06	  0.1858043E+04	  0.1582441E+04	  0.8669194E-02	  0.0000000E+00	  0.3148534E+07	  0.1163755E+01
  0.1360000E+00	  0.1920650E+19	  0.3258682E+20	  0.2612595E+20	  0.1034523E+06	  0.1856119E+04	  0.1580975E+04	  0.8651613E-02	  0.0000000E+00	  0.3148351E+07	  0.1165747E+01
  0.1370000E+00	  0.1921247E+19	  0.3258383E+20	  0.2613182E+20	  0.1034402E+06	  0.1854184E+04	  0.1579501E+04	  0.8634065E-02	  0.0000000E+00	  0.3148167E+07	  0.1167750E+01
  0.1380000E+00	  0.1921847E+19	  0.3258081E+20	  0.2613760E+20	  0.1034281E+06	  0.1852240E+04	  0.1578018E+04	  0.8616551E-02	  0.0000000E+00	  0.3147983E+07	  0.1169762E+01
  0.1390000E+00	  0.1922443E+19	  0.3257777E+20	  0.2614329E+20	  0.1034160E+06	  0.1850285E+04	  0.1576528E+04	  0.8599071E-02	  0.0000000E+00	  0.3147799E+07	  0.1171786E+01
  0.1400000E+00	  0.1923030E+19	  0.3257470E+20	  0.2614890E+20	  0.1034040E+06	  0.1848320E+04	  0.1575030E+04	  0.8581625E-02	  0.0000000E+00	  0.3147616E+07	  0.1173820E+01
  0.1410000E+00	  0.1923604E+19	  0.3257161E+20	  0.2615443E+20	  0.1033921E+06	  0.1846345E+04	  0.1573524E+04	  0.8564213E-02	  0.0000000E+00	  0.3147436E+07	  0.1175866E+01
  0.1420000E+00	  0.1924165E+19	  0.3256849E+20	  0.2615988E+20	  0.1033804E+06	  0.1844360E+04	  0.1572010E+04	  0.8546834E-02	  0.0000000E+00	  0.3147258E+07	  0.1177923E+01
  0.1430000E+00	  0.1924718E+19	  0.3256535E+20	  0.2616525E+20	  0.1033688E+06	  0.1842365E+04	  0.1570488E+04	  0.8529490E-02	  0.0000000E+00	  0.3147080E+07	  0.1179991E+01
  0.1440000E+00	  0.1925263E+19	  0.3256219E+20	  0.2617053E+20	  0.1033572E+06	  0.1840361E+04	  0.1568959E+04	  0.8512179E-02	  0.0000000E+00	  0.3146904E+07	  0.1182071E+01
  0.1450000E+00	  0.1925805E+19	  0.3255900E+20	  0.2617572E+20	  0.1033456E+06	  0.1838346E+04	  0.1567422E+04	  0.8494902E-02	  0.0000000E+00	  0.3146728E+07	  0.1184161E+01
  0.1460000E+00	  0.1926346E+19	  0.3255579E+20	  0.2618083E+20	  0.1033341E+06	  0.1836322E+04	  0.1565877E+04	  0.8477658E-02	  0.0000000E+00	  0.3146552E+07	  0.1186262E+01
  0.1470000E+00	  0.1926888E+19	  0.3255255E+20	  0.2618584E+20	  0.1033224E+06	  0.1834288E+04	  0.1564324E+04	  0.8460447E-02	  0.0000000E+00	  0.3146375E+07	  0.1188374E+01
  0.1480000E+00	  0.1927434E+19	  0.3254929E+20	  0.2619076E+20	  0.1033107E+06	  0.1832245E+04	  0.1562764E+04	  0.8443270E-02	  0.0000000E+00	  0.3146197E+07	  0.1190497E+01
  0.1490000E+00	  0.1927987E+19	  0.3254601E+20	  0.2619558E+20	  0.1032989E+06	  0.1830192E+04	  0.1561196E+04	  0.8426126E-02	  0.0000000E+00	  0.3146017E+07	  0.1192631E+01
  0.1500000E+00	  0.1928550E+19	  0.3254270E+20	  0.2620030E+20	  0.1032870E+06	  0.1828130E+04	  0.1559620E+04	  0.8409015E-02	  0.0000000E+00	  0.3145835E+07	  0.1194776E+01
  0.1510000E+00	  0.1929125E+19	  0.3253937E+20	  0.2620492E+20	  0.1032749E+06	  0.1826058E+04	  0.1558037E+04	  0.8391937E-02	  0.0000000E+00	  0.3145651E+07	  0.1196931E+01
  0.1520000E+00	  0.1929710E+19	  0.3253601E+20	  0.2620944E+20	  0.1032626E+06	  0.1823978E+04	  0.1556446E+04	  0.8374891E-02	  0.0000000E+00	  0.3145464E+07	  0.1199096E+01
  0.1530000E+00	  0.1930304E+19	  0.3253263E+20	  0.2621386E+20	  0.1032502E+06	  0.1821887E+04	  0.1554848E+04	  0.8357879E-02	  0.0000000E+00	  0.3145275E+07	  0.1201273E+01
  0.1540000E+00	  0.1930906E+19	  0.3252923E+20	  0.2621818E+20	  0.1032377E+06	  0.1819788E+04	  0.1553243E+04	  0.8340899E-02	  0.0000000E+00	  0.3145084E+07	  0.1203460E+01
  0.1550000E+00	  0.1931513E+19	  0.3252580E+20	  0.2622241E+20	  0.1032251E+06	  0.1817680E+04	  0.1551630E+04	  0.8323953E-02	  0.0000000E+00	  0.3144892E+07	  0.1205658E+01
  0.1560000E+00	  0.1932125E+19	  0.3252235E+20	  0.2622655E+20	  0.1032123E+06	  0.1815562E+04	  0.1550010E+04	  0.8307039E-02	  0.0000000E+00	  0.3144698E+07	  0.1207867E+01
  0.1570000E+00	  0.1932739E+19	  0.3251887E+20	  0.2623059E+20	  0.1031996E+06	  0.1813435E+04	  0.1548383E+04	  0.8290159E-02	  0.0000000E+00	  0.3144503E+07	  0.1210087E+01
  0.1580000E+00	  0.1933354E+19	  0.3251537E+20	  0.2623455E+20	  0.1031867E+06	  0.1811299E+04	  0.1546749E+04	  0.8273311E-02	  0.0000000E+00	  0.3144308E+07	  0.1212319E+01
  0.1590000E+00	  0.1933968E+19	  0.3251185E+20	  0.2623842E+20	  0.1031739E+06	  0.1809154E+04	  0.1545108E+04	  0.8256496E-02	  0.0000000E+00	  0.3144112E+07	  0.1214562E+01
  0.1600000E+00	  0.1934580E+19	  0.3250830E+20	  0.2624220E+20	  0.1031610E+06	  0.1807000E+04	  0.1543460E+04	  0.8239715E-02	  0.0000000E+00	  0.3143916E+07	  0.1216816E+01
  0.1610000E+00	  0.1935188E+19	  0.3250473E+20	  0.2624590E+20	  0.1031481E+06	  0.1804837E+04	  0.1541805E+04	  0.8222966E-02	  0.0000000E+00	  0.3143720E+07	  0.1219081E+01
  0.1620000E+00	  0.1935790E+19	  0.3250114E+20	  0.2624952E+20	  0.1031353E+06	  0.1802665E+04	  0.1540143E+04	  0.8206250E-02	  0.0000000E+00	  0.3143524E+07	  0.1221358E+01
  0.1630000E+00	  0.1936386E+19	  0.3249752E+20	  0.2625306E+20	  0.1031225E+06	  0.1800484E+04	  0.1538475E+04	  0.8189567E-02	  0.0000000E+00	  0.3143329E+07	  0.1223647E+01
  0.1640000E+00	  0.1936972E+19	  0.3249388E+20	  0.2625652E+20	  0.1031097E+06	  0.1798295E+04	  0.1536799E+04	  0.8172918E-02	  0.0000000E+00	  0.3143134E+07	  0.1225948E+01
  0.1650000E+00	  0.1937549E+19	  0.3249021E+20	  0.2625990E+20	  0.1030970E+06	  0.1796097E+04	  0.1535116E+04	  0.8156301E-02	  0.0000000E+00	  0.3142940E+07	  0.1228260E+01
  0.1660000E+00	  0.1938114E+19	  0.3248652E+20	  0.2626321E+20	  0.1030844E+06	  0.1793890E+04	  0.1533427E+04	  0.8139716E-02	  0.0000000E+00	  0.3142748E+07	  0.1230586E+01
  0.1670000E+00	  0.1938666E+19	  0.3248280E+20	  0.2626644E+20	  0.1030719E+06	  0.1791675E+04	  0.1531731E+04	  0.8123165E-02	  0.0000000E+00	  0.3142557E+07	  0.1232923E+01
  0.1680000E+00	  0.1939204E+19	  0.3247906E+20	  0.2626960E+20	  0.1030594E+06	  0.1789452E+04	  0.1530027E+04	  0.8106647E-02	  0.0000000E+00	  0.3142368E+07	  0.1235273E+01
  0.1690000E+00	  0.1939726E+19	  0.3247529E+20	  0.2627268E+20	  0.1030471E+06	  0.1787220E+04	  0.1528317E+04	  0.8090161E-02	  0.0000000E+00	  0.3142180E+07	  0.1237636E+01
