r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.035,8.33985662e-07,4.52424483e-07,1.38838707e-07,4.6818248e-08,-3.40692741e-08,-4.60170077e-09,-8.96054441e-12,4.08569951e-12,9.18431547e-13,3.03669954e-13,7.98247904e-08,-2.76256417e-08,-1.30270322e-07,-8.25159143e-08,-1.12270033e-07,-5.97421611e-09,-1.31386584e-10,4.30479952e-12,-1.42317363e-12,-1.88531518e-14
0.036,9.78149329e-07,5.48288358e-07,1.74512023e-07,6.13896481e-08,-4.31310332e-08,-6.20412124e-09,-1.85113408e-11,3.77747897e-12,1.05475806e-12,3.72033952e-13,1.01706449e-07,-2.91678821e-08,-1.60435811e-07,-1.05456628e-07,-1.48860868e-07,-8.12515039e-09,-1.68785866e-10,5.76677822e-12,-1.71126266e-12,-1.37947453e-14
0.037,1.14150678e-06,6.60734602e-07,2.17951989e-07,7.98927961e-08,-5.41076352e-08,-8.28134759e-09,-3.22466584e-11,2.91711794e-12,1.19571064e-12,4.53660875e-13,1.28401557e-07,-2.98125916e-08,-1.9623753e-07,-1.33793178e-07,-1.9580804e-07,-1.09616781e-08,-2.16222088e-10,7.59906985e-12,-2.04344764e-12,-5.857856910000001e-15
0.038,1.32581046e-06,7.91993502e-07,2.70559342e-07,1.03240197e-07,-6.72638084e-08,-1.09501981e-08,-5.14973635e-11,1.24011894e-12,1.33396848e-12,5.50587258e-13,1.60734042e-07,-2.91671053e-08,-2.38461721e-07,-1.68567367e-07,-2.55622414e-07,-1.46744322e-08,-2.76253998e-10,9.8624158e-12,-2.42399101e-12,5.5919853000000004e-15
0.039,1.53288077e-06,9.44505154e-07,3.33936068e-07,1.32523996e-07,-8.2861341e-08,-1.43502245e-08,-7.79203602e-11,-1.60710805e-12,1.45828883e-12,6.65020783e-13,1.99629841e-07,-2.67468496e-08,-2.87958769e-07,-2.10976905e-07,-3.31325726e-07,-1.94994505e-08,-3.52051693e-10,1.26177296e-11,-2.85731472e-12,2.12251758e-14
0.04,1.76459905e-06,1.12092859e-06,4.09906579e-07,1.69045255e-07,-1.01143999e-07,-1.86468034e-08,-1.13556556e-10,-6.09077805e-12,1.55214311e-12,7.99343021e-13,2.46124161e-07,-2.19612502e-08,-3.45641174e-07,-2.62390969e-07,-4.26534854e-07,-2.57271976e-08,-4.47528233e-10,1.59218978e-11,-3.34806027e-12,4.16500713e-14
0.041,2.0228993e-06,1.32415011e-06,5.00540106e-07,2.14346982e-07,-1.223172e-07,-2.40343769e-08,-1.60894267e-10,-1.2818249e-11,1.59201698e-12,9.56058706e-13,3.01368634e-07,-1.40983429e-08,-4.12479976e-07,-3.24366072e-07,-5.45556557e-07,-3.37130156e-08,-5.67495008e-10,1.98217471e-11,-3.90123883e-12,6.74124995e-14
0.042,2.30975869e-06,1.55729065e-06,6.08174241e-07,2.70251258e-07,-1.46521336e-07,-3.07397938e-08,-2.2293755e-10,-2.25722546e-11,1.54526854e-12,1.13778783e-12,3.66638249e-07,-2.30806624e-09,-4.89499438e-07,-3.98662037e-07,-6.93493478e-07,-4.38891646e-08,-7.17844592e-10,2.43456211e-11,-4.52245696e-12,9.88112336e-14
0.043,2.62718679e-06,1.82371199e-06,7.35439561e-07,3.38900802e-07,-1.73797439e-07,-3.90256783e-08,-3.03278125e-10,-3.63518267e-11,1.36747249e-12,1.34717199e-12,4.43337971e-07,1.44157773e-08,-5.77769754e-07,-4.87257816e-07,-8.76362212e-07,-5.67786225e-08,-9.05763899e-10,2.94919878e-11,-5.21829956e-12,1.35883448e-13
0.044,2.97721341e-06,2.12702169e-06,8.85285219e-07,4.22805341e-07,-2.04043725e-07,-4.91937307e-08,-4.06169673e-10,-5.54207891e-11,9.99135038e-13,1.58685512e-12,5.33008949e-07,3.72548868e-08,-6.78397534e-07,-5.9236683e-07,-1.10122418e-06,-7.30108249e-08,-1.1399818e-09,3.52143566e-11,-5.99687715e-12,1.78084418e-13
