r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.058,-0.000341886501,-0.000258442401,-8.84803637e-05,-3.00969882e-05,8.82386627e-06,-4.5774157e-06,-1.43356958e-07,-4.70607672e-08,-3.50809304e-09,1.96313101e-10,-8.13356709e-06,3.65979702e-05,8.66039363e-05,5.53210066e-05,2.71959213e-05,-4.88371705e-06,-1.68676043e-07,1.10552679e-08,-4.09976531e-11,-1.73967592e-10
0.059,-0.000372360586,-0.000288682282,-0.000101840595,-3.59137345e-05,9.85209607e-06,-5.39090692e-06,-1.70619025e-07,-5.90670055e-08,-4.51059202e-09,1.95516618e-10,-1.38137804e-05,3.70715075e-05,9.65143889e-05,6.35859717e-05,3.20910737e-05,-5.91232033e-06,-2.03703668e-07,1.2303211e-08,9.31970337e-12,-2.26427598e-10
0.06,-0.000404602465,-0.000321675835,-0.000116892491,-4.27138449e-05,1.09233316e-05,-6.32279026e-06,-2.02079991e-07,-7.37222569e-08,-5.76171021e-09,1.87828067e-10,-2.04885067e-05,3.7005251e-05,0.000107193253,7.2849767e-05,3.77428884e-05,-7.13245751e-06,-2.45358209e-07,1.34829812e-08,6.08693839e-11,-2.93605767e-10
0.061,-0.000438624565,-0.000357586507,-0.000133804632,-5.06392184e-05,1.20211315e-05,-7.38566845e-06,-2.38192621e-07,-9.15294408e-08,-7.31486824e-09,1.71235379e-10,-2.82553554e-05,3.62861045e-05,0.00011865147,8.31984646e-05,4.42478218e-05,-8.57498594e-06,-2.94740231e-07,1.45082286e-08,1.08045542e-10,-3.78995501e-10
0.062,-0.000474429883,-0.000396578377,-0.00015275662,-5.98484475e-05,1.31236102e-05,-8.59270116e-06,-2.79421365e-07,-1.13072102e-07,-9.23325319e-09,1.43369385e-10,-3.72154252e-05,3.47884236e-05,0.000130892529,9.47206908e-05,5.17115718e-05,-1.02749061e-05,-3.53100837e-07,1.52635329e-08,1.42545586e-10,-4.86744314e-10
0.063,-0.000512011131,-0.000438815034,-0.000173939101,-7.05182499e-05,1.42024694e-05,-9.95747896e-06,-3.26234014e-07,-1.39024854e-07,-1.15913108e-08,1.01461179e-10,-4.74728035e-05,3.23734087e-05,0.000143911252,0.000107506916,6.02495371e-05,-1.22717887e-05,-4.21856239e-07,1.55975561e-08,1.52575336e-10,-6.2173977e-10
0.064,-0.000551349903,-0.000484458321,-0.00019755368,-8.28449524e-05,1.52219192e-05,-1.14938599e-05,-3.79091156e-07,-1.70164791e-07,-1.44764013e-08,4.22943849e-11,-5.91339812e-05,2.88885504e-05,0.0001576925,0.00012164859,6.9987238e-05,-1.46102278e-05,-5.02602685e-07,1.5314985e-08,1.2188161e-10,-7.89706345e-10
0.065,-0.000592415839,-0.00053366697,-0.000223812716,-9.70460183e-05,1.6137482e-05,-1.32157636e-05,-4.38433191e-07,-2.07383885e-07,-1.79906244e-08,-3.78450039e-11,-7.23071806e-05,2.41671394e-05,0.0001722098,0.000137237107,8.10606839e-05,-1.73403175e-05,-5.97131515e-07,1.4167082e-08,2.85766703e-11,-9.97311256e-10
0.066,-0.000635165829,-0.000586595099,-0.000252938996,-0.000113361609,1.6894675e-05,-1.51369159e-05,-5.04664576e-07,-2.5170243e-07,-2.22528253e-08,-1.43222747e-10,-8.71015941e-05,1.80278535e-05,0.000187423909,0.000154362583,9.36166749e-05,-2.05181528e-05,-7.07444057e-07,1.18406375e-08,-1.56279159e-10,-1.25227067e-09
0.067,-0.000679543234,-0.000643390583,-0.000285165246,-0.000132056163,1.74275648e-05,-1.72705409e-05,-5.78135025e-07,-3.04283527e-07,-2.7400792e-08,-2.78712117e-10,-0.000103626531,1.02744385e-05,0.00020328131,0.000173112435,0.00010781302,-2.42063485e-05,-8.35766038e-07,7.94510446e-09,-4.70379936e-10,-1.56345915e-09
0.068,-0.000725477159,-0.000704193303,-0.0003207335,-0.000153419987,1.76571926e-05,-1.96289897e-05,-6.59117405e-07,-3.6644865e-07,-3.35936346e-08,-4.49851963e-10,-0.000121990471,6.95496045e-07,0.000219712658,0.000193569734,0.000123818656,-2.84745772e-05,-9.84561074e-07,1.99765933e-09,-9.62207154e-10,-1.94100906e-09
