r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.043,-0.000146769918,-1.28272004e-05,-1.5755326e-05,-5.02234207e-07,4.97421283e-09,7.29886796e-09,-7.22891479e-10,-4.57344275e-05,-7.67208976e-05,-3.80411028e-07,-1.34989771e-08,-6.83062333e-08,3.57347577e-09,2.13425424e-10
0.044,-0.000160197816,-1.42925648e-05,-1.80527966e-05,-5.91411371e-07,6.19731879e-09,8.83997304e-09,-8.62170217e-10,-5.00670109e-05,-8.58110964e-05,-4.70921122e-07,-1.66362295e-08,-8.33120294e-08,4.24998027e-09,2.78754626e-10
0.045,-0.000174473419,-1.58818575e-05,-2.06201222e-05,-6.93960218e-07,7.70606786e-09,1.0658733e-08,-1.02430064e-09,-5.46919095e-05,-9.5723554e-05,-5.77250163e-07,-2.03794539e-08,-1.00951774e-07,5.03380307e-09,3.60990701e-10
0.046,-0.000189624481,-1.76016473e-05,-2.34815535e-05,-8.11535789e-07,9.55615175e-09,1.27964991e-08,-1.21253189e-09,-5.96206268e-05,-0.000106509609,-7.01465062e-07,-2.48243775e-08,-1.21594706e-07,5.9383855e-09,4.63325186e-10
0.047,-0.000205678438,-1.9458577e-05,-2.66628521e-05,-9.4595701e-07,1.18117583e-08,1.52994279e-08,-1.43051686e-09,-6.48647145e-05,-0.000118222246,-8.45828025e-07,-3.00787205e-08,-1.45650337e-07,6.97834161e-09,5.89392148e-10
0.048,-0.000222662355,-2.14593461e-05,-3.01913402e-05,-1.09921907e-06,1.45465435e-08,1.82188604e-08,-1.68235272e-09,-7.04357557e-05,-0.000130916076,-1.0128089e-06,-3.62633194e-08,-1.735717e-07,8.16949404e-09,7.43320782e-10
0.049,-0.000240602877,-2.36106925e-05,-3.40959486e-05,-1.27350639e-06,1.78446907e-08,2.16117136e-08,-1.97262996e-09,-7.63453493e-05,-0.000144647302,-1.20509799e-06,-4.351331e-08,-2.05858775e-07,9.52890465e-09,9.29783613e-10
0.05,-0.000259526179,-2.59193736e-05,-3.84072647e-05,-1.47120631e-06,2.18020721e-08,2.55408704e-08,-2.30648221e-09,-8.26050928e-05,-0.000159473691,-1.42561923e-06,-5.1979376e-08,-2.43062114e-07,1.10748935e-08,1.15406142e-09
0.051,-0.000279457914,-2.8392146e-05,-4.31575799e-05,-1.6949232e-06,2.65275534e-08,3.0075559e-08,-2.68965127e-09,-8.92265659e-05,-0.000175454533,-1.67754372e-06,-6.18290973e-08,-2.85786676e-07,1.28270543e-08,1.42210562e-09
0.052,-0.000300423166,-3.10357447e-05,-4.83809355e-05,-1.9474932e-06,3.21444314e-08,3.52917127e-08,-3.12855035e-09,-9.6221313e-05,-0.000192650602,-1.96430349e-06,-7.32484358e-08,-3.34695878e-07,1.48062612e-08,1.74062092e-09
0.053,-0.000322446398,-3.38568605e-05,-5.4113168e-05,-2.23199993e-06,3.87918374e-08,4.12724012e-08,-3.63030391e-09,-0.000103600826,-0.000211124113,-2.2896063e-06,-8.644319e-08,-3.90515745e-07,1.7034653e-08,2.11712627e-09
0.054,-0.000345551409,-3.68621168e-05,-6.03919523e-05,-2.55179088e-06,4.66262371e-08,4.81082534e-08,-4.20278619e-09,-0.000111376526,-0.000230938668,-2.65745108e-06,-1.01640531e-07,-4.54039279e-07,1.95355979e-08,2.56003716e-09
0.055,-0.000369761281,-4.00580448e-05,-6.72568446e-05,-2.91049442e-06,5.58230789e-08,5.5897865e-08,-4.85467754e-09,-0.000119559747,-0.000252159203,-3.07214378e-06,-1.19090632e-07,-5.26131051e-07,2.2333648e-08,3.07874775e-09
0.056,-0.000395098336,-4.34510584e-05,-7.47493228e-05,-3.31203762e-06,6.65785718e-08,6.4748188e-08,-5.59551554e-09,-0.000128161716,-0.000274851931,-3.53831386e-06,-1.39068371e-07,-6.07732043e-07,2.54544678e-08,3.683733e-09
0.057,-0.000421584086,-4.70474275e-05,-8.29128264e-05,-3.76066465e-06,7.91116036e-08,7.47749107e-08,-6.43575619e-09,-0.000137193537,-0.00029908428,-4.06093134e-06,-1.61875088e-07,-6.99864714e-07,2.8924745e-08,4.38664678e-09
0.058,-0.000449239196,-5.08532502e-05,-9.17927938e-05,-4.26095599e-06,9.36658e-08,8.61028148e-08,-7.38682477e-09,-0.000146666168,-0.000324924821,-4.64532441e-06,-1.87840387e-07,-8.03638317e-07,3.27720693e-08,5.20043872e-09
0.059,-0.000478083429,-5.48744252e-05,-0.000101436698,-4.81784829e-06,1.10511759e-07,9.88661093e-08,-8.46117889e-09,-0.00015659041,-0.000352443202,-5.29719779e-06,-2.17323976e-07,-9.20254468e-07,3.70247845e-08,6.13946984e-09
0.06,-0.000508135612,-5.91166213e-05,-0.000111894082,-5.43665487e-06,1.29949495e-07,1.13208719e-07,-9.672364e-09,-0.00016697688,-0.000381710069,-6.02265142e-06,-2.5071753e-07,-1.051013e-06,4.17118037e-08,7.21964892e-09
0.061,-0.000539413589,-6.35852484e-05,-0.000123216589,-6.12308647e-06,1.523112e-07,1.29284491e-07,-1.10351036e-08,-0.000177836,-0.000412796982,-6.82819943e-06,-2.88446724e-07,-1.19731817e-06,4.68624053e-08,8.45858506e-09
0.062,-0.000571934182,-6.82854266e-05,-0.000135457996,-6.88327253e-06,1.77964226e-07,1.47257327e-07,-1.2565388e-08,-0.000189177971,-0.000445776336,-7.72078911e-06,-3.309735e-07,-1.36068517e-06,5.25060108e-08,9.87576237e-09
0.063,-0.000605713149,-7.32219542e-05,-0.000148674235,-7.72378387e-06,2.0731375e-07,1.67301456e-07,-1.42804842e-08,-0.00020101276,-0.000480721265,-8.70782207e-06,-3.78798011e-07,-1.54274692e-06,5.86719032e-08,1.14926468e-08
0.064,-0.000640765148,-7.83992742e-05,-0.000162923427,-8.65165618e-06,2.40805557e-07,1.8960161e-07,-1.61989347e-08,-0.000213350079,-0.000517705554,-9.79717614e-06,-4.32460606e-07,-1.74526102e-06,6.53889245e-08,1.33328183e-08
0.065,-0.000677103695,-8.38214414e-05,-0.000178265892,-9.67441402e-06,2.78929134e-07,2.14353082e-07,-1.8340596e-08,-0.000226199367,-0.000556803532,-1.09972275e-05,-4.92543899e-07,-1.97011728e-06,7.26851577e-08,1.54221271e-08
0.066,-0.000714741135,-8.94920881e-05,-0.000194764177,-1.08000953e-05,3.22220988e-07,2.41761702e-07,-2.07266661e-08,-0.000239569768,-0.000598089977,-1.23168736e-05,-5.59674781e-07,-2.21934547e-06,8.05875644e-08,1.77888701e-08
0.067,-0.000753688598,-9.54143895e-05,-0.000212483066,-1.20372767e-05,3.71268224e-07,2.72043745e-07,-2.33797278e-08,-0.000253470118,-0.00064164,-1.37655563e-05,-6.34526271e-07,-2.49512356e-06,8.91215633e-08,2.04639801e-08
0.068,-0.000793955971,-0.000101591028,-0.000231489599,-1.33950987e-05,4.26712454e-07,3.05425725e-07,-2.63237823e-08,-0.000267908924,-0.00068752894,-1.53532859e-05,-7.17819009e-07,-2.79978628e-06,9.83105168e-08,2.34812261e-08
0.069,-0.000835551865,-0.00010802416,-0.000251853075,-1.48832918e-05,4.89254299e-07,3.42144037e-07,-2.95843366e-08,-0.000282894343,-0.000735832244,-1.70906645e-05,-8.10322226e-07,-3.13583428e-06,1.08175099e-07,2.68774421e-08
0.07,-0.00087848358,-0.000114715376,-0.000273645067,-1.6512199e-05,5.59659108e-07,3.8244418e-07,-3.31886124e-08,-0.00029843417,-0.000786625346,-1.89889079e-05,-9.1285441e-07,-3.50594401e-06,1.1873257e-07,3.06928192e-08
0.071,-0.000922757075,-0.000121665678,-0.000296939433,-1.82927948e-05,6.38765239e-07,4.26578987e-07,-3.71661548e-08,-0.000314535816,-0.000839983542,-2.10598585e-05,-1.0262859e-06,-3.91297888e-06,1.29996216e-07,3.49714407e-08
0.072,-0.000968376937,-0.00012887545,-0.000321812334,-2.02366972e-05,7.27493624e-07,4.74806094e-07,-4.15495746e-08,-0.000331206291,-0.000895981862,-2.33159909e-05,-1.15154489e-06,-4.36000179e-06,1.41975154e-07,3.97620936e-08
0.073,-0.00101534635,-0.000136344427,-0.000348342225,-2.23561964e-05,8.26849567e-07,5.27388347e-07,-4.63736382e-08,-0.000348452191,-0.000954694936,-2.57704419e-05,-1.28961605e-06,-4.85028421e-06,1.54673494e-07,4.51182586e-08
0.074,-0.00106366706,-0.000144071646,-0.000376609843,-2.46642835e-05,9.37924688e-07,5.84593525e-07,-5.16745493e-08,-0.000366279678,-0.00101619686,-2.84370402e-05,-1.44153992e-06,-5.38731592e-06,1.68089902e-07,5.10979169e-08
0.075,-0.00111333936,-0.000152055422,-0.000406698204,-2.7174677e-05,1.06190113e-06,6.46693229e-07,-5.74897102e-08,-0.000384694466,-0.00108056108,-3.13303327e-05,-1.608414e-06,-5.97481589e-06,1.82217352e-07,5.77635674e-08
0.076,-0.00116436204,-0.000160293304,-0.000438692584,-2.99018466e-05,1.20005679e-06,7.13961484e-07,-6.38576571e-08,-0.0004037018,-0.00114786019,-3.44656088e-05,-1.79139406e-06,-6.61674373e-06,1.97042813e-07,6.5182284e-08
0.077,-0.0012167324,-0.00016878205,-0.000472680508,-3.28610377e-05,1.35377075e-06,7.86673225e-07,-7.08179214e-08,-0.000423306447,-0.00121816589,-3.78589246e-05,-1.99169568e-06,-7.31731165e-06,2.12546916e-07,7.34258961e-08
0.078,-0.00127044616,-0.000177517591,-0.000508751731,-3.60682954e-05,1.52452843e-06,8.65102794e-07,-7.841079e-08,-0.000443512674,-0.00129154874,-4.15271276e-05,-2.21059668e-06,-8.08099664e-06,2.28703764e-07,8.25710268e-08
0.079,-0.0013254975,-0.000186494996,-0.000546998212,-3.95404919e-05,1.71392526e-06,9.49522837e-07,-8.66767482e-08,-0.000464324236,-0.00136807808,-4.54878845e-05,-2.44944105e-06,-8.91255252e-06,2.45481009e-07,9.26991365e-08
0.08,-0.00138187897,-0.00019570844,-0.000587514076,-4.32953634e-05,1.92366638e-06,1.04020455e-06,-9.56552953e-08,-0.000485744358,-0.00144782185,-4.9759718e-05,-2.70964307e-06,-9.817021e-06,2.6284013e-07,1.03896131e-07
0.081,-0.00143958153,-0.000205151144,-0.00063039554,-4.73515709e-05,2.1555571e-06,1.13742173e-06,-1.05382128e-07,-0.000507775719,-0.00153084647,-5.43620747e-05,-2.99268201e-06,-1.07997395e-05,2.8073569e-07,1.1625125e-07
0.082,-0.00149859448,-0.000214815298,-0.000675740814,-5.17287816e-05,2.41148815e-06,1.24145721e-06,-1.15885733e-07,-0.000530420433,-0.00161721667,-5.93154218e-05,-3.30008122e-06,-1.18663467e-05,2.99112921e-07,1.29855254e-07
0.083,-0.00155890545,-0.000224692049,-0.000723650074,-5.64476831e-05,2.69345064e-06,1.35259578e-06,-1.27190344e-07,-0.000553680032,-0.00170699538,-6.46412472e-05,-3.63341898e-06,-1.30228033e-05,3.17909114e-07,1.4480214e-07
0.084,-0.00162050039,-0.000234771486,-0.000774225436,-6.15299952e-05,3.00355073e-06,1.4711179e-06,-1.39318225e-07,-0.000577555454,-0.0018002435,-7.03620594e-05,-3.99433402e-06,-1.42754128e-05,3.37054131e-07,1.61190002e-07
0.085,-0.00168336352,-0.000245042607,-0.000827570898,-6.69984946e-05,3.3440167e-06,1.5972969e-06,-1.52290056e-07,-0.000602047023,-0.00189701983,-7.65014069e-05,-4.38452275e-06,-1.56308383e-05,3.56469899e-07,1.79120853e-07
0.086,-0.00174747732,-0.000255493288,-0.000883792282,-7.28770455e-05,3.71720202e-06,1.73139716e-06,-1.6612473e-07,-0.000627154443,-0.00199738086,-8.30839018e-05,-4.80573583e-06,-1.70961199e-05,3.76070179e-07,1.98699894e-07
0.087,-0.0018128225,-0.000266110259,-0.00094299716,-7.91906322e-05,4.12558588e-06,1.8736728e-06,-1.80838799e-07,-0.00065287678,-0.00210138063,-9.01352461e-05,-5.25977633e-06,-1.86786908e-05,3.95760874e-07,2.20034625e-07
0.088,-0.00187937796,-0.000276879066,-0.00100529477,-8.59653958e-05,4.57177077e-06,2.02436683e-06,-1.96445805e-07,-0.000679212448,-0.0022090706,-9.76822591e-05,-5.74850142e-06,-2.03863935e-05,4.15441288e-07,2.43233676e-07
0.089,-0.00194712081,-0.000287784047,-0.00107079593,-9.32286808e-05,5.05847458e-06,2.18371176e-06,-2.12954919e-07,-0.000706159196,-0.00232049946,-0.000105752911,-6.2738288e-06,-2.22274954e-05,4.35006439e-07,2.68405345e-07
0.09,-0.00201602632,-0.000298808289,-0.00113961289,-0.00010100911,5.58851039e-06,2.35193416e-06,-2.30368047e-07,-0.000733714091,-0.00243571301,-0.000114376382,-6.83774362e-06,-2.42107013e-05,4.54350129e-07,2.95655309e-07
0.091,-0.00208606792,-0.000309933542,-0.00121185915,-0.00010933673,6.16473996e-06,2.52926997e-06,-2.48672579e-07,-0.000761873497,-0.002554754,-0.000123583193,-7.44227749e-06,-2.63451577e-05,4.73365141e-07,3.25082028e-07
0.092,-0.00215721724,-0.00032114007,-0.00128764912,-0.000118243206,6.79001292e-06,2.7159856e-06,-2.67832389e-07,-0.000790633051,-0.00267766199,-0.00013340542,-8.08944452e-06,-2.86404504e-05,4.91938677e-07,3.56770836e-07
0.093,-0.00222944405,-0.000332406676,-0.00136709814,-0.00012776183,7.46718633e-06,2.91236162e-06,-2.87796614e-07,-0.000819987642,-0.00280447323,-0.000143876633,-8.78127274e-06,-3.11066391e-05,5.09959576e-07,3.90797428e-07
0.094,-0.00230271625,-0.000343710703,-0.00145032234,-0.00013792752,8.19914229e-06,3.11867944e-06,-3.08506607e-07,-0.000849931404,-0.00293522047,-0.000155031859,-9.51981914e-06,-3.37542898e-05,5.27322372e-07,4.2722971e-07
0.095,-0.00237699992,-0.000355028005,-0.00153743857,-0.000148776858,8.98878364e-06,3.33521716e-06,-3.29898244e-07,-0.000880457699,-0.00306993283,-0.000166907587,-1.03071607e-05,-3.65944985e-05,5.43928392e-07,4.66126602e-07
0.096,-0.00245225922,-0.000366332911,-0.00162856423,-0.000160348155,9.83901769e-06,3.56224885e-06,-3.51902113e-07,-0.000911559109,-0.00320863567,-0.000179541777,-1.11453833e-05,-3.96389146e-05,5.59687275e-07,5.07536263e-07
0.097,-0.00252845648,-0.000377598191,-0.00172381715,-0.000172681515,1.07527323e-05,3.80004379e-06,-3.74443688e-07,-0.000943227414,-0.00335135044,-0.00019297389,-1.20365742e-05,-4.28997646e-05,5.74520059e-07,5.51493675e-07
0.098,-0.00260555216,-0.00038879502,-0.00182331538,-0.000185818915,1.17327647e-05,4.04886593e-06,-3.97442599e-07,-0.000975453589,-0.00349809456,-0.0002072449,-1.29828224e-05,-4.63898778e-05,5.88363763e-07,5.98018862e-07
0.099,-0.00268350487,-0.000399892945,-0.00192717706,-0.0001998043,1.2781859e-05,4.30897255e-06,-4.20812316e-07,-0.00100822779,-0.00364888127,-0.000222397326,-1.39862263e-05,-5.01227131e-05,6.0117836e-07,6.47114294e-07
0.1,-0.00276227142,-0.000410859836,-0.00203552014,-0.000214683731,1.39026035e-05,4.58061795e-06,-4.44454383e-07,-0.00104153933,-0.00380371953,-0.000238475297,-1.50489033e-05,-5.41123851e-05,6.12954084e-07,6.98761919e-07
