r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.367,-0.00709672477,0.620398315,-3.69587436,-0.120204563,0.702760522,0.00430534293,0.0226433036,-0.024243136,-0.277697292,0.717834512,-2.55258889,-0.509830445,-0.203054466,-0.136262861
0.368,-0.00662626526,0.613019029,-3.63919478,-0.0920105054,0.694811909,0.00540590674,0.0235446968,-0.0245340372,-0.263297798,0.650645547,-2.50831598,-0.49615836,-0.202156266,-0.135569873
0.369,-0.00615323243,0.605416354,-3.58220103,-0.0649254693,0.686796491,0.00649266199,0.0244289657,-0.0247965441,-0.249269387,0.585747178,-2.4644325,-0.482780172,-0.201234527,-0.134854483
0.37,-0.0056785886,0.597609672,-3.52497981,-0.0389242012,0.678726627,0.00756536446,0.0252959795,-0.0250312874,-0.235614719,0.523112051,-2.42097086,-0.469697824,-0.200291469,-0.134118502
0.371,-0.00520326398,0.589614257,-3.46759222,-0.013980984,0.670609973,0.0086237967,0.0261454832,-0.0252387514,-0.22233428,0.46270665,-2.3779456,-0.456909757,-0.199328001,-0.133362842
0.372,-0.00472823245,0.581445146,-3.41009623,0.00992914928,0.662453578,0.00966779787,0.0269772284,-0.0254194187,-0.20942813,0.404495742,-2.33536874,-0.444414097,-0.198344958,-0.132588333
0.373,-0.00425448629,0.573117099,-3.35254754,0.0328307937,0.654264269,0.0106972519,0.0277909881,-0.0255737995,-0.196895895,0.3484428,-2.29325084,-0.432208728,-0.197343127,-0.131795773
0.374,-0.00378300471,0.564643171,-3.29499189,0.0547482839,0.646047257,0.0117120648,0.0285864988,-0.0257023936,-0.184736301,0.294509546,-2.25159631,-0.420290313,-0.196322788,-0.130985628
0.375,-0.00331468112,0.556027363,-3.23742253,0.075704528,0.637797653,0.0127119364,0.0293630437,-0.0258053498,-0.172945075,0.24265348,-2.21037447,-0.408648942,-0.195281136,-0.130156297
0.376,-0.00285036188,0.547271529,-3.17982107,0.0957205959,0.629508181,0.0136963618,0.0301197201,-0.0258827514,-0.16151778,0.192834061,-2.16954745,-0.397273474,-0.194214591,-0.129305686
0.377,-0.00239092142,0.538386165,-3.12222006,0.114817674,0.621181592,0.0146649188,0.0308560533,-0.0259351254,-0.150452822,0.145016318,-2.12911278,-0.386159364,-0.193122611,-0.128433773
0.378,-0.00193722365,0.529385017,-3.06467082,0.133017378,0.61282456,0.0156172603,0.0315717834,-0.0259632036,-0.139749173,0.0991661045,-2.08908152,-0.375304468,-0.192005879,-0.127541376
0.379,-0.00149008755,0.520281561,-3.00722285,0.150341382,0.60444358,0.0165530386,0.0322666818,-0.0259677457,-0.129405225,0.0552483371,-2.04946412,-0.364706439,-0.190865088,-0.126629328
0.38,-0.00105027217,0.511088984,-2.94992374,0.166811408,0.596044926,0.0174719022,0.0329405478,-0.0259495261,-0.119418824,0.0132270973,-2.01027045,-0.354362743,-0.189700944,-0.125698475
0.381,-0.000618463621,0.501819588,-2.89281609,0.18244915,0.587634057,0.0183734738,0.0335931771,-0.0259093044,-0.109787176,-0.0269342048,-1.97150789,-0.344270311,-0.188513967,-0.124749553
0.382,-0.00019526891,0.492484137,-2.8359343,0.197276176,0.579215025,0.0192573209,0.0342243297,-0.0258477853,-0.100506841,-0.0652724151,-1.93317924,-0.334425143,-0.18730426,-0.123783046
